Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
The Berliner Doner Kebab,,#AD17D,5be6f582-2ab3-4925-a0b7-2856dd1ad17d,,Unknown,Refund,2021-04-30,14:26,-4,0,-4,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-4,2021-05-03,,,
The Berliner Doner Kebab,,#37AE1,7eafac17-9563-4403-9c9c-0b6a66737ae1,Delivery - Partner Using Uber App,iOS,Completed,2021-05-03,11:14,24,2.47,26.47,0,0,0,0,0,0,0,0,26.47,-3.6,0,0,0,0,0,,0,-2.47,0,20.4,2021-05-10,0,0,15
The Berliner Doner Kebab,,#25A46,d1d3e919-f0bf-4eef-9eac-608482725a46,Delivery - Partner Using Uber App,iOS,Completed,2021-05-03,11:12,22,2.25,24.25,0,0,0,0,0,0,0,0,24.25,-3.3,0,0,0,0,0,,0,-2.25,0,18.7,2021-05-10,0,0,15
The Berliner Doner Kebab,,#81886,ffc0acbc-aaba-4c60-90f2-3da136f81886,Delivery - Partner Using Uber App,iOS,Completed,2021-05-03,12:33,16,1.65,17.65,0,0,0,0,0,0,0,0,17.65,-2.4,0,0,0,0,0,,0,-1.65,0,13.6,2021-05-10,0,0,15
The Berliner Doner Kebab,,#9668D,5c1ab853-9457-42a7-9611-62661fa9668d,Delivery - Partner Using Uber App,iOS,Completed,2021-05-03,12:48,12,1.23,13.23,0,0,0,0,0,0,0,0,13.23,-1.8,0,0,0,0,0,,0,-1.23,0,10.2,2021-05-10,0,0,15
The Berliner Doner Kebab,,#82C34,f9a41fdc-3ce5-4d6a-8627-96f91d582c34,Pickup,iOS,Completed,2021-05-03,12:31,14,1.44,15.44,0,0,0,0,0,0,0,0,15.44,0,0,0,0,0,0,,0,-1.44,0,14,2021-05-10,0,0,
The Berliner Doner Kebab,,#830A3,f06f4da5-baf9-4e44-86eb-4f4a572830a3,Delivery - Partner Using Uber App,Android,Completed,2021-05-03,13:32,22,2.26,24.26,0,0,0,0,0,0,0,0,24.26,-3.3,0,0,0,0,0,,0,-2.26,0,18.7,2021-05-10,0,0,15
The Berliner Doner Kebab,,#C4C48,10eacaeb-d01c-4cff-b116-c163868c4c48,Delivery - Partner Using Uber App,iOS,Completed,2021-05-04,11:51,16,1.64,17.64,0,0,0,0,0,0,0,0,17.64,-2.4,0,0,0,0,0,,0,-1.64,0,13.6,2021-05-10,0,0,15
The Berliner Doner Kebab,,#BFFEE,7c2c49ff-b291-46b9-8a40-3437f65bffee,Delivery - Partner Using Uber App,Android,Completed,2021-05-04,12:06,21,2.16,23.16,0,0,0,0,0,0,0,0,23.16,-3.15,0,0,0,0,0,,0,-2.16,0,17.85,2021-05-10,0,0,15
The Berliner Doner Kebab,,#2A26B,56f9e6dc-4e41-40f5-bf5e-4af66412a26b,Delivery - Partner Using Uber App,iOS,Completed,2021-05-04,12:17,25,2.57,27.57,0,0,0,0,0,0,0,0,27.57,-3.75,0,0,0,0,0,,0,-2.57,0,21.25,2021-05-10,0,0,15
The Berliner Doner Kebab,,#6BB8D,99ec4caf-b0fb-4dca-a8a4-c984abf6bb8d,Delivery - Partner Using Uber App,iOS,Completed,2021-05-04,13:14,22,2.25,24.25,0,0,0,0,0,0,0,0,24.25,-3.3,0,0,0,0,0,,0,-2.25,0,18.7,2021-05-10,0,0,15
The Berliner Doner Kebab,,#1AA3F,f2f015e0-a8a6-4e54-bf34-102a6d21aa3f,Delivery - Partner Using Uber App,Android,Completed,2021-05-05,11:07,23,2.36,25.36,0,0,0,0,0,0,0,0,25.36,-3.45,0,0,0,0,0,,0,-2.36,0,19.55,2021-05-10,0,0,15
The Berliner Doner Kebab,,#FC2BE,def849f2-4311-44d7-b53c-bd31b48fc2be,Delivery - Partner Using Uber App,iOS,Completed,2021-05-05,11:15,26,2.67,28.67,0,0,0,0,0,0,0,0,28.67,-3.9,0,0,0,0,0,,0,-2.67,0,22.1,2021-05-10,0,0,15
The Berliner Doner Kebab,,#58627,5dd9836a-0705-4e19-8139-fa67db958627,Delivery - Partner Using Uber App,Android,Completed,2021-05-05,11:37,15.25,1.55,16.8,0,0,0,0,0,0,0,0,16.8,-2.29,0,0,0,0,0,,0,-1.55,0,12.96,2021-05-10,0,0,15
The Berliner Doner Kebab,,#50FFD,68da7c15-3904-4f42-905a-01dd2bd50ffd,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-05-05,12:43,12,1.23,13.23,0,0,0,0,0,0,0,0,13.23,-1.8,0,0,0,0,0,,0,-1.23,0,10.2,2021-05-10,0,0,15
The Berliner Doner Kebab,,#644BE,8af6a693-d2fe-4cfa-ade9-ce29995644be,Delivery - Partner Using Uber App,iOS,Completed,2021-05-05,13:04,27.25,2.79,30.04,0,0,0,0,0,0,0,0,30.04,-4.09,0,0,0,0,0,,0,-2.79,0,23.16,2021-05-10,0,0,15
The Berliner Doner Kebab,,#D023B,d8a1bdf4-e6de-4b23-a188-14ad466d023b,Delivery - Partner Using Uber App,iOS,Completed,2021-05-05,14:49,14,1.43,15.43,0,0,0,0,0,0,0,0,15.43,-2.1,0,0,0,0,0,,0,-1.43,0,11.9,2021-05-10,0,0,15
The Berliner Doner Kebab,,#4ED72,730e72c9-a5cb-4176-a051-928bc6f4ed72,Delivery - Partner Using Uber App,Android,Completed,2021-05-05,16:00,36,3.69,39.69,0,0,0,0,0,0,0,0,39.69,-5.4,0,0,0,0,0,,0,-3.69,0,30.6,2021-05-10,0,0,15
The Berliner Doner Kebab,,#9A8A1,8ecd0f67-7ee9-4902-84b9-fc608a59a8a1,Delivery - Partner Using Uber App,iOS,Completed,2021-05-05,16:23,20,2.05,22.05,0,0,0,0,0,0,0,0,22.05,-3,0,0,0,0,0,,0,-2.05,0,17,2021-05-10,0,0,15
The Berliner Doner Kebab,,#C63D2,c0a9c64a-8c8d-4a94-9a94-040385fc63d2,Delivery - Partner Using Uber App,iOS,Completed,2021-05-05,17:14,26.25,2.68,28.93,0,0,0,0,0,0,0,0,28.93,-3.94,0,0,0,0,0,,0,-2.68,0,22.31,2021-05-10,0,0,15
The Berliner Doner Kebab,,#40AAB,2d08d78d-f403-4468-a7a7-cc80ad640aab,Pickup,iOS,Completed,2021-05-05,17:45,21,2.15,23.15,0,0,0,0,0,0,0,0,23.15,0,0,0,0,0,0,,0,-2.15,0,21,2021-05-10,0,0,
The Berliner Doner Kebab,,#E7980,4ab80420-36ee-441f-a190-6323654e7980,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-05-06,11:07,35,3.58,38.58,0,0,0,0,0,0,0,0,38.58,-5.25,0,0,0,0,0,,0,-3.58,0,29.75,2021-05-10,0,0,15
The Berliner Doner Kebab,,#A2BC0,e5f6d3b5-f85c-4b7c-b74f-1fd523ca2bc0,Delivery - Partner Using Uber App,iOS,Completed,2021-05-06,11:42,11,1.13,12.13,0,0,0,0,0,0,0,0,12.13,-1.65,0,0,0,0,0,,0,-1.13,0,9.35,2021-05-10,0,0,15
The Berliner Doner Kebab,,#EEF3E,846de220-2bc9-421a-a4a6-7646f67eef3e,Delivery - Partner Using Uber App,iOS,Completed,2021-05-06,11:51,23,2.36,25.36,0,0,0,0,0,0,0,0,25.36,-3.45,0,0,0,0,0,,0,-2.36,0,19.55,2021-05-10,0,0,15
The Berliner Doner Kebab,,#C557A,6eed486b-7e54-4c10-bbba-77fa639c557a,Delivery - Partner Using Uber App,iOS,Completed,2021-05-06,11:39,24,2.46,26.46,0,0,0,0,0,0,0,0,26.46,-3.6,0,0,0,0,0,,0,-2.46,0,20.4,2021-05-10,0,0,15
The Berliner Doner Kebab,,#B4F7C,9e407aa2-91c5-4d5b-a845-d3f5909b4f7c,Delivery - Partner Using Uber App,iOS,Completed,2021-05-06,11:34,25,2.56,27.56,0,0,0,0,0,0,0,0,27.56,-3.75,0,0,0,0,0,,0,-2.56,0,21.25,2021-05-10,0,0,15
The Berliner Doner Kebab,,#4E12C,3e1889c5-c4cb-4657-84db-3dd58df4e12c,Delivery - Partner Using Uber App,iOS,Completed,2021-05-06,11:22,24,2.47,26.47,0,0,0,0,0,0,0,0,26.47,-3.6,0,0,0,0,0,,0,-2.47,0,20.4,2021-05-10,0,0,15
The Berliner Doner Kebab,,#5DD87,f7dcc0c8-69e0-4190-afba-33753865dd87,Delivery - Partner Using Uber App,iOS,Completed,2021-05-06,11:42,11,1.13,12.13,0,0,0,0,0,0,0,0,12.13,-1.65,0,0,0,0,0,,0,-1.13,0,9.35,2021-05-10,0,0,15
The Berliner Doner Kebab,,#6FB67,c2c5a6f2-52f6-42a3-87eb-43ca0ee6fb67,Delivery - Partner Using Uber App,iOS,Completed,2021-05-06,13:19,24,2.46,26.46,0,0,0,0,0,0,0,0,26.46,-3.6,0,0,0,0,0,,0,-2.46,0,20.4,2021-05-10,0,0,15
