"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-899314996514160","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/22/21","11:14 AM","11.00","0","0.00","1.13","0","12.13","-1.65","0","-0.67","-1.13","0"
"O-643915032331233","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/26/21","12:25 PM","12.00","0","0.00","1.23","0","13.23","-1.80","0","-0.70","-1.23","0"
"O-792114878283947","The Berliner Doner Kebab - 428 Westlake Ave N","Adjustment of O-792114878283947","Restaurant cannot fulfill order","4/9/21","6:58 PM","-26.50","0","0.00","-2.72","-2.92","-32.14","3.98","0","1.28","2.72","0"
"O-686214981314814","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/21/21","5:07 PM","22.00","0","0.00","2.26","0","24.26","-1.10","-2.20","-1.04","-2.26","0"
"O-705514841054418","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/7/21","12:32 PM","12.00","0","0.00","1.23","0","13.23","-0.60","-1.20","-0.70","-1.23","0"
"O-423914914133024","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/14/21","2:09 PM","25.00","0","0.00","2.56","0","27.56","-1.25","-2.50","-0.99","-2.56","-5.00"
"O-247415038280041","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/26/21","12:00 PM","46.00","0","0.00","3.90","0","49.90","-2.30","-4.60","-1.58","-3.90","-8.00"
"O-643915062355495","The Berliner Doner Kebab - 428 Westlake Ave N","Adjustment of O-643915062355495","Order not ready / is taking too long","4/28/21","6:15 PM","-17.00","0","0.00","-1.74","0","-18.74","0.85","1.70","0.87","1.74","0"
"O-247114993293761","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/21/21","7:22 PM","24.00","0","0.00","2.46","0","26.46","-1.20","-2.40","-1.11","-2.46","0"
"O-296315001887196","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/23/21","12:43 PM","14.00","0","0.00","1.44","0","15.44","-2.10","0","-0.77","-1.44","0"
"O-150314796154422","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/2/21","12:42 PM","22.00","0","0.00","2.26","0","24.26","-1.10","-2.20","-0.96","-2.26","-2.49"
