Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
The Berliner Doner Kebab,,#A0807,23740fdf-dc9a-4fdf-9865-99602d9a0807,Delivery - Partner Using Uber App,iOS,Completed,2021-04-01,11:31,14,1.43,15.43,0,0,0,0,0,0,0,0,15.43,-2.1,0,0,0,0,0,,0,-1.68,0,11.9,2021-04-05,0,0,
The Berliner Doner Kebab,,#A0807,23740fdf-dc9a-4fdf-9865-99602d9a0807,,Unknown,Refund,2021-04-01,11:31,-2,0,-2,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-2,2021-04-05,,,
The Berliner Doner Kebab,,#D1B3C,c9ac2fc1-eeda-478a-a512-a255527d1b3c,Delivery - Partner Using Uber App,iOS,Completed,2021-04-01,11:11,25,2.58,27.58,0,0,0,0,0,0,0,0,27.58,-3.75,0,0,0,0,0,,0,-2.96,0,21.25,2021-04-05,0,0,
The Berliner Doner Kebab,,#54E95,f2b1ba78-239c-458c-9c95-1abf20754e95,Delivery - Partner Using Uber App,Android,Completed,2021-04-01,11:20,15.25,1.57,16.82,0,0,0,0,0,0,0,0,16.82,-2.29,0,0,0,0,0,,0,-1.8,0,12.96,2021-04-05,0,0,
The Berliner Doner Kebab,,#AD8A4,a23566f2-6e23-4d89-a73e-808c1a4ad8a4,Delivery - Partner Using Uber App,iOS,Completed,2021-04-01,11:11,16,1.65,17.65,0,0,0,0,0,0,0,0,17.65,-2.4,0,0,0,0,0,,0,-1.89,0,13.6,2021-04-05,0,0,
The Berliner Doner Kebab,,#0B734,f6f7c1b8-9ec9-454b-b3de-ac1d9620b734,Pickup,Uber Eats Web,Completed,2021-04-01,11:50,29,2.97,31.97,0,0,0,0,0,0,0,0,31.97,0,0,0,0,0,0,,0,-2.97,0,29,2021-04-05,0,0,
The Berliner Doner Kebab,,#FF88A,a7e14383-b659-473c-8bff-e52849dff88a,Delivery - Partner Using Uber App,iOS,Completed,2021-04-01,13:28,22,2.26,24.26,0,0,0,0,0,0,0,0,24.26,-3.3,0,0,0,0,0,,0,-2.59,0,18.7,2021-04-05,0,0,
The Berliner Doner Kebab,,#62310,71b55ab4-a1ae-4587-a1e6-67ba9aa62310,Pickup,Android,Completed,2021-04-01,13:28,11,1.13,12.13,0,0,0,0,0,0,0,0,12.13,0,0,0,0,0,0,,0,-1.13,0,11,2021-04-05,0,0,
The Berliner Doner Kebab,,#98CD6,6ffc5381-7fc1-4a53-a757-631e4a098cd6,Delivery - Partner Using Uber App,iOS,Completed,2021-04-01,16:46,24,2.47,26.47,0,0,0,0,0,0,0,0,26.47,-3.6,0,0,0,0,0,,0,-2.84,0,20.4,2021-04-05,0,0,
The Berliner Doner Kebab,,#74B2C,e2e79c63-79a4-4635-919f-3bbee0974b2c,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-01,16:59,23,2.36,25.36,0,0,0,0,0,0,0,0,25.36,-3.45,0,0,0,0,0,,0,-2.71,0,19.55,2021-04-05,0,0,
The Berliner Doner Kebab,,#AA3E6,0bc9168c-7806-4f07-a0cf-c06fd2daa3e6,Delivery - Partner Using Uber App,iOS,Completed,2021-04-01,19:25,25,2.57,27.57,0,0,0,0,0,0,0,0,27.57,-3.75,0,0,0,0,0,,0,-2.94,0,21.25,2021-04-05,0,0,
The Berliner Doner Kebab,,#41EC0,7b61e093-856f-448e-9c12-ea30a5d41ec0,,Unknown,Refund,2021-03-31,11:26,-3.25,0,-3.25,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-3.25,2021-04-05,,,
The Berliner Doner Kebab,,#60033,dc30e6fe-623f-4a6f-9893-e08372660033,Delivery - Partner Using Uber App,iOS,Completed,2021-04-02,11:41,16,1.65,17.65,0,0,0,0,0,0,0,0,17.65,-2.4,0,0,0,0,0,,0,-1.88,0,13.6,2021-04-05,0,0,
